period_start_date,BOGMBASE,realtime_start_date
2013-07-01,3290899.0,2013-08-08
2013-08-01,3398930.0,2013-09-05
2013-09-01,3486915.0,2013-10-03
2013-10-01,3589497.0,2013-11-14
2013-11-01,3684546.0,2013-12-12
2013-12-01,3717463.0,2014-01-09
2014-01-01,3728498.0,2014-02-06
2014-02-01,3833347.0,2014-03-06
2014-03-01,3885850.0,2014-04-03
2014-04-01,3930646.0,2014-05-01
2014-05-01,3911514.0,2014-06-19
2014-06-01,3948675.0,2014-07-10
2014-07-01,3989063.0,2014-08-07
2014-08-01,4075023.0,2014-09-04
2014-09-01,4049168.0,2014-10-02
2014-10-01,4001440.0,2014-11-13
2014-11-01,3830424.0,2014-12-11
2014-12-01,3934490.0,2015-01-08
2015-01-01,4017093.0,2015-02-05
2015-02-01,3840341.0,2015-03-05
2015-03-01,4030561.0,2015-04-02
2015-04-01,4059338.0,2015-05-14
2015-05-01,3949307.0,2015-06-11
2015-06-01,3919529.0,2015-07-09
2015-07-01,3961126.0,2015-08-06
2015-08-01,3983882.0,2015-09-03
2015-09-01,4028301.0,2015-10-01
2015-10-01,4060437.0,2015-11-12
2015-11-01,4006652.0,2015-12-10
2015-12-01,3835800.0,2016-01-07
2016-01-01,3792738.0,2016-02-04
2016-02-01,3872547.0,2016-03-03
2016-03-01,3898447.0,2016-04-14
2016-04-01,3872940.0,2016-05-12
2016-05-01,3836463.0,2016-06-09
2016-06-01,3825373.0,2016-07-07
2016-07-01,3772402.0,2016-08-04
2016-08-01,3816517.0,2016-09-01
2016-09-01,3735753.0,2016-10-13
2016-10-01,3571983.0,2016-11-10
2016-11-01,3629696.0,2016-12-08
2016-12-01,3531576.0,2017-01-05
2017-01-01,3595455.0,2017-02-02
2017-02-01,3746378.0,2017-03-02
2017-03-01,3856260.0,2017-04-13
2017-04-01,3821650.0,2017-05-11
2017-05-01,3774390.0,2017-06-08
2017-06-01,3762757.0,2017-07-06
2017-07-01,3795425.0,2017-08-03
2017-08-01,3910028.0,2017-09-14
2017-09-01,3874483.0,2017-10-12
2017-10-01,3829898.0,2017-11-09
2017-11-01,3907715.0,2017-12-07
2017-12-01,3850968.0,2018-01-11
2018-01-01,3824794.0,2018-02-01
2018-02-01,3855088.0,2018-03-01
2018-03-01,3800660.0,2018-04-12
2018-04-01,3727183.0,2018-05-10
2018-05-01,3674797.0,2018-06-07
2018-06-01,3650554.0,2018-07-05
2018-07-01,3618339.0,2018-08-02
2018-08-01,3584502.0,2018-09-13
2018-09-01,3559894.0,2018-10-11
2018-10-01,3520960.0,2018-11-08
2018-11-01,3476418.0,2018-12-06
2018-12-01,3400747.0,2019-02-21
2019-01-01,3346896.0,2019-02-21
2019-02-01,3353484.0,2019-03-14
2019-03-01,3381470.0,2019-04-11
2019-04-01,3286668.0,2019-05-09
2019-05-01,3244515.0,2019-06-06
2019-06-01,3274900.0,2019-07-05
2019-07-01,3260366.0,2019-08-01
2019-08-01,3271409.0,2019-09-12
2019-09-01,3202694.0,2019-10-10
2019-10-01,3252830.0,2019-11-07
2019-11-01,3315603.0,2019-12-05
2019-12-01,3426515.0,2020-01-02
2020-01-01,3442621.0,2020-02-13
2020-02-01,3454507.0,2020-03-12
2020-03-01,3883155.0,2020-04-09
2020-04-01,4844940.0,2020-05-07
2020-05-01,5149527.0,2020-06-04
2020-06-01,5001978.0,2020-07-02
2020-07-01,4700401.0,2020-08-13
2020-08-01,4807410.0,2020-09-10
2020-09-01,4880400.0,2020-10-15
2020-10-01,4917100.0,2020-11-12
2020-11-01,5093100.0,2020-12-10
2020-12-01,5206600.0,2021-01-14
2021-01-01,5247900.0,2021-02-11
2021-02-01,5446900.0,2021-03-23
2021-03-01,5839100.0,2021-04-27
2021-04-01,6042100.0,2021-05-25
2021-05-01,6041900.0,2021-06-22
2021-06-01,6027100.0,2021-07-27
2021-07-01,6130300.0,2021-08-24
2021-08-01,6328800.0,2021-09-28
2021-09-01,6388900.0,2021-10-26
2021-10-01,6331000.0,2021-11-23
2021-11-01,6394800.0,2021-12-28
2021-12-01,6413300.0,2022-01-25
2022-01-01,6103500.0,2022-02-22
2022-02-01,6040000.0,2022-03-22
2022-03-01,6134500.0,2022-04-26
2022-04-01,5885200.0,2022-05-24
2022-05-01,5591600.0,2022-06-28
2022-06-01,5506500.0,2022-07-26
2022-07-01,5536900.0,2022-08-23
2022-08-01,5582300.0,2022-09-27
2022-09-01,5410900.0,2022-10-25
2022-10-01,5339700.0,2022-11-22
2022-11-01,5418700.0,2022-12-27
2022-12-01,5405400.0,2023-01-24
2023-01-01,5328400.0,2023-02-28
2023-02-01,5321000.0,2023-03-28
2023-03-01,5571000.0,2023-04-25
2023-04-01,5592600.0,2023-05-23
2023-05-01,5569100.0,2023-06-27
2023-06-01,5608200.0,2023-07-25
2023-07-01,5517200.0,2023-08-22
2023-08-01,5559100.0,2023-09-26
2023-09-01,5567100.0,2023-10-24
2023-10-01,5601300.0,2023-11-28
2023-11-01,5731400.0,2023-12-26
2023-12-01,5827200.0,2024-01-23
2024-01-01,5843700.0,2024-02-27
2024-02-01,5896900.0,2024-03-26
2024-03-01,5883000.0,2024-04-23
2024-04-01,5775200.0,2024-05-28
2024-05-01,5725300.0,2024-06-25
2024-06-01,5731800.0,2024-07-23
2024-07-01,5653900.0,2024-08-27
2024-08-01,5670.2,2024-09-24
2024-09-01,5588.4,2024-10-22
2024-10-01,5567.2,2024-11-26
2024-11-01,5616.5,2024-12-26
2024-12-01,5604.1,2025-01-28
2025-01-01,5614.2,2025-02-25
2025-02-01,5614.0,2025-03-25
2025-03-01,5775.2,2025-04-22
2025-04-01,5732.9,2025-05-27
2025-05-01,5648.6,2025-06-24
2025-06-01,5748.6,2025-07-22
2025-07-01,5740.3,2025-08-26
2025-08-01,5686.4,2025-09-23
2025-09-01,5478.0,2025-10-28
2025-10-01,5361.5,2025-11-25
2025-11-01,5301.9,2025-12-23
2025-12-01,5373.7,2026-01-27
2026-01-01,5402.5,2026-02-24
2026-02-01,5388.0,2026-03-24
