date,growth_pc1,inflation_pc1,gs10,term_spread_10y_1y,state,state_prob_0,state_prob_1,state_prob_2
1972-08-01,1.7914126799333363,-0.5938528837706623,6.21,1.2299999999999995,1,6.509430416434368e-66,1.0,2.671573313495377e-41
1972-11-01,2.9250281409192587,0.3953515828616309,6.28,1.010000000000001,1,8.070504021125594e-07,0.9997816987176285,0.00021749423193557962
1973-02-01,2.6974742942723715,2.490439620269416,6.64,0.4499999999999993,1,9.571531964685394e-08,0.9999998401576832,6.412679174085693e-08
1973-05-01,1.0846040993242712,2.048697479013292,6.85,-0.04,1,2.6681547878833107e-06,0.9999651380786992,3.219376655041849e-05
1973-08-01,-0.5144328650192292,7.839877013142269,7.4,-1.42,1,3.6944891245683473e-13,0.9999999999995453,4.705919427821916e-39
1973-11-01,1.024485608972456,0.4374632365247347,6.73,-0.8399999999999999,1,7.6674996134757e-06,0.9950219155318085,0.004970416968626379
1974-02-01,-1.0259118641646203,3.7512884219309406,6.96,0.08,1,1.8385453266360878e-07,0.9999998160792698,6.616040745997118e-11
1974-05-01,0.0107044091660379,1.2645575208812885,7.58,-1.1999999999999993,1,4.910157871631006e-07,0.9997214342673512,0.0002780747169486754
1974-08-01,-1.588055320794328,4.655792100890325,8.04,-1.3200000000000005,1,1.1474071470103178e-10,0.9999999998854037,6.59334713192767e-18
1974-11-01,-4.028703618930432,1.4014202023179685,7.68,0.0199999999999995,1,2.7185528719535857e-11,0.9999999999358806,3.6954293643261626e-11
1975-02-01,-3.9053594030370737,0.1742380090765533,7.39,1.4099999999999993,1,4.732745665407234e-11,0.9999946946991018,5.305253482632086e-06
1975-05-01,-0.7274128517521826,-0.7548916149118878,8.06,1.6700000000000008,2,9.628893978398093e-09,0.090213011454179,0.9097869789169568
1975-08-01,1.9311316273272463,-0.2636192450805588,8.4,0.7000000000000002,2,8.98817855313271e-12,0.018131762308507583,0.9818682376825981
1975-11-01,0.9145541240113364,0.0193665340213315,8.05,1.5600000000000005,2,1.207988785954243e-10,0.0006998695708193682,0.9993001303085036
1976-02-01,2.215210135372229,-1.104421018811627,7.79,1.88,2,1.0225370294800083e-12,0.000999087698990363,0.9990009122998008
1976-05-01,0.8043456263540161,0.5087850173093553,7.9,1.5,2,4.697313236490122e-13,7.537755483672399e-05,0.9999246224444927
1976-08-01,0.5274102441104415,-0.5631125141776587,7.77,1.7699999999999996,2,1.159226772067741e-13,2.1000671058414446e-05,0.9999789993289243
1976-11-01,1.0375241189416031,0.06703907703772,7.29,2.0,2,3.809821665152933e-12,5.084113044630074e-05,0.9999491588656096
1977-02-01,1.424880041517277,1.5077320765161863,7.39,1.92,2,6.0306272027477794e-12,0.0017244206311946707,0.9982755793628363
1977-05-01,2.0201702052005435,0.3104243461942705,7.46,1.62,2,9.797779881728053e-12,0.00044699209082577963,0.9995530078995402
1977-08-01,0.6655925349654298,-0.1904620624313888,7.4,1.0300000000000002,2,1.246603571350597e-10,0.00012112340579362059,0.9998788764697285
1977-11-01,0.3888731639129686,0.5767547766061131,7.58,0.6299999999999999,2,1.9895516524785596e-10,0.00454216911962103,0.9954578306816181
1978-01-01,-0.7240219273787509,1.2542254026363655,7.96,0.6799999999999997,2,1.2685805791259026e-09,0.0986725494963157,0.9013274492351419
1978-02-01,0.5943208349934004,0.9438459301388764,8.03,0.6899999999999995,2,3.031625296321726e-08,0.17200182861785052,0.8279981410660407
1978-03-01,1.116414993124193,1.4874331393504725,8.04,0.7299999999999995,1,2.1118692989839628e-08,0.677417871153968,0.3225821077272264
1978-04-01,3.151033431295685,1.2820766161035746,8.15,0.7000000000000002,1,3.1480828919272105e-10,0.998636379957129,0.0013636197282580558
1978-05-01,2.552899271543414,1.0969768916284834,8.35,0.5299999999999994,1,1.7642982443022663e-09,0.9994382096552351,0.0005617885806919719
1978-06-01,2.606727495301796,1.303412193114913,8.46,0.370000000000001,1,6.119054478080612e-10,0.9959633312080421,0.004036668179982741
1978-07-01,0.9720090248508,0.2937415167605856,8.64,0.25,1,1.5607622159732026e-08,0.80178605812895,0.19821392626326081
1978-08-01,1.2499489933712506,0.4338950239936532,8.41,0.0999999999999996,1,2.416221488011339e-08,0.7892327864324074,0.21076718940549885
1978-09-01,0.9171598371633513,0.8022252462371083,8.42,-0.2200000000000006,1,2.5568717129656966e-08,0.8369340321902101,0.1630659422411814
1978-10-01,1.1360816233069098,1.361527144300663,8.64,-0.5,1,4.947732240147735e-09,0.96931703363512,0.03068296141725191
1978-11-01,1.390966991195844,0.7177497623562866,8.81,-1.1999999999999993,1,1.75991120331935e-09,0.9929398016520314,0.007060196588064269
1978-12-01,1.0964886012185602,1.4723673639334285,9.01,-1.290000000000001,1,6.793040915406551e-10,0.9998218356160788,0.00017816370479613143
1979-01-01,-0.2275730782415286,1.7111312731711668,9.1,-1.3100000000000005,1,7.18459596502397e-10,0.999991735268897,8.264012840792188e-06
1979-02-01,0.1828725284774582,2.046335208904095,9.1,-1.1400000000000006,1,5.935848637254388e-10,0.9999978030565703,2.196350013396596e-06
1979-03-01,0.6506765610148166,2.1073204594329664,9.12,-1.1300000000000008,1,4.074444985930434e-10,0.9999984750263852,1.5245662946048852e-06
1979-04-01,-1.4141876397384876,2.129500010903932,9.18,-0.9399999999999996,1,1.2267350659742558e-10,0.9999998925832245,1.0729412948129643e-07
1979-05-01,0.5461314327686025,1.2257829336087218,9.25,-0.8699999999999992,1,6.379564050048685e-10,0.99984903159884,0.00015096776300230712
1979-06-01,-0.8560363811120733,1.428197231307203,8.91,-0.6600000000000001,1,2.1263841288178516e-09,0.9999619119640103,3.808590963316845e-05
1979-07-01,-0.2623414022542014,2.221256334124338,8.95,-0.6900000000000013,1,1.244594406003478e-09,0.999998545177426,1.4535781622120114e-06
1979-08-01,-1.0674155168565982,0.8446424512336909,9.03,-0.9500000000000012,1,1.1745467697779735e-09,0.9999142900508963,8.570877433586927e-05
1979-09-01,-0.1040075410429673,1.9964338248540887,9.33,-1.5099999999999998,1,1.691100418210552e-10,0.9999990391065763,9.607240985324618e-07
1979-10-01,-0.6891201038989249,2.0118226323183803,10.3,-2.139999999999999,1,6.05725592335246e-13,0.9999999811866476,1.8812912892659313e-08
1979-11-01,-1.1751667707286877,1.144979669353058,10.65,-1.7400000000000002,1,1.4440058568109888e-13,0.999999607188406,3.928115475330829e-07
1979-12-01,-0.8848285203823397,1.8328060967463435,10.39,-1.59,1,5.566625616944653e-13,0.999999908372051,9.162760715900529e-08
1980-01-01,-0.5368561471285511,2.884278051871648,10.8,-1.2599999999999998,1,2.809191882806679e-14,0.9999999998644853,1.3569062016273002e-10
1980-02-01,-0.636462478035155,2.809638341157961,12.41,-1.5099999999999998,1,1.0809604979380284e-18,0.999999999998181,1.8799137111676398e-12
1980-03-01,-1.9650582726056456,2.59456687240158,12.75,-3.0700000000000003,1,4.6570245768049555e-21,1.0,1.476404306587575e-15
1980-04-01,-4.52377431814795,1.2229835148695456,11.47,-1.83,1,7.369264303394899e-21,1.0,2.1660713576690312e-16
1980-05-01,-5.091671901185689,1.0436755829821138,10.18,0.7899999999999991,1,2.285651427919454e-18,1.0,1.5497338627782377e-15
1980-06-01,-4.853542039998621,0.44245547653423,9.78,1.6199999999999992,1,1.5397508469651137e-16,1.0,1.7761500565994227e-13
1980-07-01,-2.556757224479967,0.4736039267630782,10.25,1.5999999999999996,1,5.278138218782684e-13,0.999998967769521,1.032229985064907e-06
1980-08-01,0.1985542934727666,0.9075399307043096,11.1,0.8599999999999994,1,1.5606635893941863e-13,0.9999077716884534,9.222831143154734e-05
1980-09-01,0.601417802676296,0.5442117142831139,11.51,-0.0099999999999997,1,8.024609410131016e-15,0.9999589226842123,4.107731565975046e-05
1980-10-01,2.746304861312715,1.5236538929068717,11.75,-0.7400000000000002,1,7.899239171749992e-18,0.9999999965552888,3.4446307034619814e-09
1980-11-01,2.218061201737206,0.9912975915563612,12.68,-1.4700000000000006,1,7.213799159380774e-20,0.9999999970323188,2.967551560001605e-09
1980-12-01,1.017824644370041,2.230475199662405,12.84,-2.040000000000001,1,5.543067126281079e-20,0.9999999999813554,1.8453701434337766e-11
1981-01-01,0.2554746517078934,1.0172951344570311,12.57,-1.5099999999999998,1,2.7935312019526874e-18,0.9999999446436065,5.535658737037448e-08
1981-02-01,-0.1811344782701234,1.6945991110545702,13.19,-1.3800000000000008,1,2.264656490624329e-20,0.9999999995648068,4.3518059073148836e-10
1981-03-01,0.3979866677311175,0.885885989828513,13.12,-0.5900000000000016,1,1.0912185160579334e-19,0.9999999350784513,6.492177419520456e-08
1981-04-01,-0.5235274043839557,0.2339101698566218,13.68,-0.6400000000000006,1,1.908052565179749e-21,0.9999999864871825,1.3512827087217177e-08
1981-05-01,-0.6320839468104034,0.2381939667146383,14.1,-2.1,1,2.3669791253819426e-23,0.9999999998572093,1.43008667850075e-10
1981-06-01,-1.0924429494083958,0.7225618321400015,13.47,-1.3899999999999988,1,2.6308103757763992e-21,0.9999999989572643,1.0428283271820724e-09
1981-07-01,-0.0982944607508124,1.3355872985379365,14.28,-1.4400000000000013,1,6.813961366548278e-24,0.9999999999663487,3.37797101017981e-11
1981-08-01,-0.7069599737362657,0.3331568901423478,14.94,-1.7799999999999994,1,2.7429488065949193e-26,0.9999999999936335,6.441416656320763e-12
1981-09-01,-1.339232111052382,1.1925211026681437,15.32,-1.1999999999999993,1,4.507995847434879e-28,1.0,8.305076822847297e-14
1981-10-01,-3.044431242830764,0.1306720866028401,15.15,-0.2300000000000004,1,5.668171115816454e-29,1.0,3.8319214854258846e-15
1981-11-01,-3.6618969361304936,0.5535686202224166,13.39,0.9800000000000004,1,1.0815608399380208e-23,1.0,1.4090534262614182e-13
1981-12-01,-3.4061562882352447,-0.1685328942904592,13.72,0.870000000000001,1,3.0653293515797467e-24,0.9999999999995453,4.801468775509502e-13
1982-01-01,-3.883905796798847,-0.0924774270896568,14.59,0.2699999999999996,1,2.440345712836132e-28,1.0,3.153029231264209e-16
1982-02-01,-0.8207338160782464,0.097157954046436,14.43,-0.3000000000000007,1,5.017241364909692e-24,0.9999999992833182,7.166196179247658e-10
1982-03-01,-2.6299465364944665,-0.8035504679717147,13.86,-0.0899999999999998,1,1.0685146388110885e-23,0.9999999999922693,7.873569775556558e-12
1982-04-01,-1.7773052544062362,-0.538600765298855,13.87,-0.1100000000000012,1,1.0603360757999856e-22,0.9999999995134203,4.86380666093567e-10
1982-05-01,-1.6990165847539955,0.7058505495445374,13.62,0.2799999999999993,1,8.59054617193019e-22,0.9999999990268407,9.733278314335502e-10
1982-06-01,-2.085933068656018,1.119146956775391,14.3,0.2300000000000004,1,1.2815142927893919e-24,0.9999999999959073,4.164933012907964e-12
1982-07-01,-1.9483803345646424,0.4744969520440221,13.95,0.7099999999999991,1,5.308929233212634e-23,0.9999999997594387,2.4077150491767456e-10
1982-08-01,-2.0938524886878715,-0.315979361687248,13.06,1.6300000000000008,1,5.464240153207278e-20,0.9999999908623067,9.137681808065654e-09
1982-09-01,-1.9663062906918147,-0.8629168837593009,12.34,1.4900000000000002,1,1.0079579759086343e-17,0.9999999085757778,9.142431239488326e-08
1982-10-01,-2.121604510281685,-0.1276987343907872,10.91,1.59,1,5.6087394861014844e-14,0.9999962987217544,3.701278103632674e-06
1982-11-01,-1.6913906017142557,-0.3748063761094695,10.55,1.3900000000000006,1,1.0857256617707169e-12,0.999950548866241,4.9451132458443334e-05
1982-12-01,-1.4357743720619205,-0.8366542480383012,10.54,1.629999999999999,1,1.993162102567242e-12,0.9997420103666627,0.0002579896314419206
1983-01-01,0.9618948432259904,-0.5712577950875832,10.46,1.8400000000000016,1,7.65919335588195e-12,0.9966814517479448,0.0033185482443292324
1983-02-01,0.6936724751448443,-0.995121974842333,10.72,1.8000000000000007,1,2.1405415919711857e-12,0.9976218619376681,0.002378138060232872
1983-03-01,1.5347160022238184,-0.9466979342791776,10.51,1.4700000000000006,1,1.929763670893321e-12,0.9989176266887054,0.001082373309504864
1983-04-01,2.4049704647833146,-0.416110067535562,10.4,1.42,1,4.612045927892072e-13,0.9997946161559077,0.00020538384353087767
1983-05-01,2.1002253771830084,0.0887004420893131,10.38,1.4800000000000004,1,1.1783263837734728e-12,0.9997179167629129,0.0002820832358651992
1983-06-01,2.209243434741532,-0.1416850476649846,10.85,1.1899999999999995,1,5.865665201218686e-14,0.9999209389852777,7.906101476989751e-05
1983-07-01,2.902950276932441,0.0815388391054486,11.38,1.1800000000000015,1,2.8613761159285565e-16,0.9999986198013605,1.3801986759041961e-06
1983-08-01,2.179875711664353,0.4381562369932489,11.85,1.3200000000000005,1,1.4114090943107913e-16,0.9999964356706954,3.564329303368794e-06
1983-09-01,3.068428317558906,0.2170018367133222,11.65,1.4900000000000002,1,3.339513110504079e-17,0.9999996944957741,3.055041023349639e-07
1983-10-01,2.3558805314358207,0.1385768431278763,11.54,1.7299999999999986,1,8.004175891157396e-16,0.9999924002438566,7.599755938281632e-06
1983-11-01,2.333027448121971,-0.4116753604554187,11.69,1.75,1,3.551983407237207e-16,0.999993806345255,6.193654912950948e-06
1983-12-01,2.5872531494832574,-0.3584110060059995,11.83,1.7200000000000006,1,6.733822931874561e-17,0.9999982080555722,1.7919446366091354e-06
1984-01-01,2.0830016584698465,-0.018723728092696,11.67,1.7699999999999996,1,7.814555961999795e-16,0.9999858625604967,1.4137439556596117e-05
1984-02-01,2.006559152247072,0.2521435609683646,11.84,1.8000000000000007,1,3.0964537841898293e-16,0.9999910918342051,8.908165821104369e-06
1984-03-01,1.3548608253479617,-0.1126886124319299,12.32,1.7300000000000004,1,5.2384316612478775e-17,0.9999883311619272,1.1668838118317933e-05
1984-04-01,1.8920386970698877,0.4123130605884423,12.63,1.7300000000000004,1,1.9542370807765556e-18,0.9999990956893722,9.043107504156724e-07
1984-05-01,1.05395413650069,-0.4411847662285556,13.41,1.75,1,3.636213487220866e-20,0.9999995539561581,4.460439018525e-07
1984-06-01,1.2153185485210765,-0.2832576865998823,13.56,1.4800000000000004,1,8.356913254617544e-21,0.9999997854320329,2.1456809450389372e-07
1984-07-01,0.5631083573577761,-0.1814177430526672,13.36,1.33,1,6.967952671672141e-20,0.9999992818145834,7.181854481710854e-07
1984-08-01,0.1478385988835719,-0.4301975249587648,12.72,0.9000000000000004,1,6.740465735310326e-18,0.9999953517593696,4.648240770161557e-06
1984-09-01,-0.7008901256207081,-0.518276949212796,12.52,0.9399999999999996,1,1.9945137611612352e-17,0.9999969078546714,3.0921452787108315e-06
1984-10-01,-0.0038179159641464,0.1820960733361612,12.16,1.2599999999999998,1,3.4676389060382113e-16,0.9999709192169877,2.9080783145803726e-05
1984-11-01,0.0003356054064425,-0.0879368235442421,11.57,1.75,1,1.995027809683959e-14,0.9997851596866552,0.0002148403131791845
1984-12-01,0.188099538366759,-0.2918583536887861,11.5,2.17,1,3.668990966179345e-14,0.9996849474247894,0.0003150525751641779
1985-01-01,-0.0807182878523304,-0.6077491975462117,11.38,2.360000000000001,1,8.19059468964097e-14,0.9997210503148071,0.0002789496852492342
1985-02-01,-0.5388190776449273,-0.0493097401348198,11.51,2.2200000000000006,1,2.8961707296313605e-14,0.9998658918686828,0.00013410813137705713
1985-03-01,0.0446202556825854,-0.1009359707664471,11.86,2.0,1,3.587184655681218e-15,0.9998879202362141,0.00011207976386921554
1985-04-01,-0.3433080851509543,-0.0471400381083941,11.43,2.289999999999999,1,5.4379975673083383e-14,0.9997022515006587,0.00029774849925160433
1985-05-01,-0.1398786197999546,-0.0013017000512989,10.85,2.389999999999999,1,1.8450752927187675e-12,0.9990981216382726,0.000901878360100826
1985-06-01,-3.479926813852689,-0.7886882706971984,10.16,2.3600000000000003,1,1.6327519907638733e-14,0.9999947697624874,5.230237333045165e-06
1985-07-01,0.1599583870320861,-0.2568467132486177,10.31,2.45,2,7.135124814335946e-12,0.40432835933754363,0.5956716406553028
1985-08-01,0.3822532478684657,-0.5662840183723032,10.33,2.28,2,2.934221893498862e-12,0.18695614041662725,0.8130438595804413
1985-09-01,0.4127552861487574,-0.7207027813326896,10.37,2.299999999999999,2,1.2513487777089438e-12,0.10010819398590773,0.8998918060126981
1985-10-01,-0.2561181958092186,0.5933845744857904,10.24,2.2300000000000004,2,3.5355990262731213e-13,0.055422597182137365,0.9445774028173568
1985-11-01,0.3716895393437278,0.2877877312788585,9.78,1.9,2,3.6148329116948666e-13,0.00911977490337211,0.9908802250964475
1985-12-01,0.400428270732073,-0.1231094565105948,9.26,1.59,2,1.917875971429819e-12,0.0010408188325865466,0.9989591811655846
1986-01-01,0.7212000479252121,-0.4921875133531733,9.19,1.459999999999999,2,2.1195147687239077e-12,0.0014527148946443021,0.9985472851033907
1986-02-01,-0.3396562312230904,-2.038164427345768,8.7,1.089999999999999,2,1.9157355259300985e-11,0.014887712774995572,0.9851122872056617
1986-03-01,-0.2338945116914561,-1.9579232252091008,7.78,0.75,2,9.67602305696327e-10,0.011563232539723706,0.9884367664926651
1986-04-01,0.0944685382391816,-1.503885877999592,7.3,0.8599999999999994,2,1.9735406541215787e-10,0.0017308257788456029,0.9982691740238154
1986-05-01,-0.0620216382147397,-0.0075640010381396,7.71,1.0599999999999996,2,2.1560451650387966e-12,6.382599324555584e-05,0.9999361740043853
1986-06-01,-0.215847806626343,-0.3784943368589537,7.8,1.0699999999999994,2,6.541005978799537e-14,3.1968231449839494e-05,0.9999680317685895
1986-07-01,0.0094379655630452,-0.7867317413828238,7.3,1.0300000000000002,2,8.841648852120762e-14,3.05572187248316e-05,0.9999694427814042
1986-08-01,0.570673750608273,-0.2424224473906464,7.17,1.2400000000000002,2,7.49018308667675e-14,1.545174284362339e-05,0.9999845482568699
1986-09-01,0.7326045184176676,0.1122700771917634,7.45,1.6800000000000006,2,2.537714086361829e-14,1.7999551766358855e-05,0.9999820004483028
1986-10-01,-0.2996508852558735,-0.482992754282649,7.43,1.71,2,3.9485709957408226e-14,2.4757255889224358e-05,0.999975242744279
1986-11-01,0.2567860537784308,0.1114112462354688,7.25,1.4500000000000002,2,5.608973995362239e-14,1.6823202418732524e-05,0.9999831767973717
1986-12-01,0.6363602593648241,-0.197347109086261,7.11,1.2400000000000002,2,1.4759907951156523e-13,1.588507478280662e-05,0.9999841149249046
1987-01-01,-0.1079894680930222,0.7074833515466694,7.08,1.2999999999999998,2,2.5126823377287435e-13,5.5536338800943204e-05,0.9999444636611464
1987-02-01,0.9281956276337694,0.297906772552134,7.25,1.29,2,1.1454633448625024e-13,2.6875355748159276e-05,0.9999731246440091
1987-03-01,0.3380962139301732,0.0355609713911214,7.25,1.2199999999999998,2,1.052508922619982e-13,1.7131538353081728e-05,0.99998286846162
1987-04-01,0.4797706773392218,0.3130604550576013,8.02,1.5199999999999996,2,2.962151320677845e-14,3.108307234230763e-05,0.999968916927775
1987-05-01,1.3920178282761038,0.4054613466470695,8.61,1.6099999999999994,2,2.1448471022349923e-15,0.00011970051353703346,0.9998802994865827
1987-06-01,0.8210218518624856,0.0897993168595858,8.4,1.6000000000000003,2,3.0087755872256915e-14,3.866038254672656e-05,0.9999613396173118
1987-07-01,1.4947265127690168,-0.1372513531860443,8.45,1.7699999999999996,2,7.790192505829897e-15,7.756297358340824e-05,0.9999224370262801
1987-08-01,0.9912799036283124,0.1619693556316665,8.76,1.7299999999999995,2,4.3996325661724744e-14,8.775575948760008e-05,0.9999122442404382
1987-09-01,0.9135808165422742,-0.3931403064076056,9.42,1.75,2,3.5128656951504245e-14,0.0005569225958964121,0.9994430774041806
1987-10-01,1.6370284747621149,0.4564701204729698,9.52,1.93,2,1.16771281345728e-13,0.0050597202504734365,0.994940279749462
1987-11-01,1.085875973006488,0.2751270006966404,8.86,1.9,2,6.886166716178494e-11,0.012167482037346647,0.9878325178935716
1987-12-01,1.3844061069766112,-0.7320198830562552,8.99,1.8200000000000005,2,6.927499579834272e-11,0.12326626151414118,0.8767337384166913
1988-01-01,0.3039678017339724,-11.79912808400016,8.67,1.6799999999999995,1,2.3505975057561961e-23,1.0,1.7260962963400984e-71
1988-02-01,0.4676106304831862,-0.3222010959795729,8.21,1.5700000000000012,2,1.8944146814932452e-10,0.019976470915022554,0.9800235288956634
1988-03-01,0.3720438941441772,-0.064241179674921,8.37,1.6599999999999993,2,1.3136273230260826e-11,0.000529577523818403,0.999470422463014
1988-04-01,0.8478302468061596,0.7914160083912892,8.72,1.7100000000000009,2,9.721803133772985e-14,0.0002186121425175841,0.9997813878575086
