sample_name,state,variable,mean,std,count
baseline,state_0,growth_pc1,0.13580194524471043,1.0751226165297216,224
baseline,state_0,inflation_pc1,-0.004317367967315913,1.0727009928302234,224
baseline,state_0,gs10,4.076428571428571,1.7118847857080672,224
baseline,state_0,term_spread_10y_1y,0.3862946428571429,0.657130685562919,224
baseline,state_1,growth_pc1,-0.24295744881905346,1.7700771052841484,188
baseline,state_1,inflation_pc1,-0.41082142168834407,1.3859098414726099,188
baseline,state_1,gs10,4.086968085106383,1.8869920208301154,188
baseline,state_1,term_spread_10y_1y,2.3346808510638297,0.5747665457307432,188
baseline,state_2,growth_pc1,-0.01926540719440495,1.5795576436533005,183
baseline,state_2,inflation_pc1,0.4242312893947381,1.131330106684917,183
baseline,state_2,gs10,9.787049180327868,2.16764825032302,183
baseline,state_2,term_spread_10y_1y,0.6378688524590164,1.1757173841196717,183
trim_start_3y,state_0,growth_pc1,-0.022690299599499537,1.6002255144410789,230
trim_start_3y,state_0,inflation_pc1,0.02918324212977074,1.1233784945906866,230
trim_start_3y,state_0,gs10,4.022086956521739,1.7053901169295038,230
trim_start_3y,state_0,term_spread_10y_1y,0.418,0.6840442285044283,230
trim_start_3y,state_1,growth_pc1,-0.07379157629996273,1.205483773715092,181
trim_start_3y,state_1,inflation_pc1,-0.4717604431930386,1.32913723697642,181
trim_start_3y,state_1,gs10,4.152707182320442,1.9085476931726888,181
trim_start_3y,state_1,term_spread_10y_1y,2.368508287292818,0.5459034165571023,181
trim_start_3y,state_2,growth_pc1,0.011914399706658524,1.5424354316392512,172
trim_start_3y,state_2,inflation_pc1,0.31976117498265394,0.8913872261145276,172
trim_start_3y,state_2,gs10,9.941627906976745,2.141494182672772,172
trim_start_3y,state_2,term_spread_10y_1y,0.6761046511627906,1.1694595395801788,172
trim_start_5y,state_0,growth_pc1,-0.022690299599499537,1.6002255144410789,230
trim_start_5y,state_0,inflation_pc1,0.02918324212977074,1.1233784945906866,230
trim_start_5y,state_0,gs10,4.022086956521739,1.7053901169295038,230
trim_start_5y,state_0,term_spread_10y_1y,0.418,0.6840442285044283,230
trim_start_5y,state_1,growth_pc1,-0.07379157629996273,1.205483773715092,181
trim_start_5y,state_1,inflation_pc1,-0.4717604431930386,1.32913723697642,181
trim_start_5y,state_1,gs10,4.152707182320442,1.9085476931726888,181
trim_start_5y,state_1,term_spread_10y_1y,2.368508287292818,0.5459034165571023,181
trim_start_5y,state_2,growth_pc1,-0.053816764471277,1.544415914300935,164
trim_start_5y,state_2,inflation_pc1,0.3324190720976064,0.8968113433674598,164
trim_start_5y,state_2,gs10,10.048231707317074,2.135261635662202,164
trim_start_5y,state_2,term_spread_10y_1y,0.6301219512195121,1.1754685726997383,164
trim_start_10y,state_0,growth_pc1,-0.03452600998854034,1.6709496849936851,201
trim_start_10y,state_0,inflation_pc1,0.014537619170397455,1.129380285954465,201
trim_start_10y,state_0,gs10,3.8412935323383084,1.6256971791843515,201
trim_start_10y,state_0,term_spread_10y_1y,0.30462686567164177,0.6404607599803651,201
trim_start_10y,state_1,growth_pc1,-0.14706766671733237,1.207253166090177,174
trim_start_10y,state_1,inflation_pc1,-0.3237076398247828,1.1233285553546093,174
trim_start_10y,state_1,gs10,3.7280459770114938,1.547816914297694,174
trim_start_10y,state_1,term_spread_10y_1y,2.3758045977011495,0.5593670936087187,174
trim_start_10y,state_2,growth_pc1,0.24877545056020825,1.1965229609255175,143
trim_start_10y,state_2,inflation_pc1,-0.2174300633160003,1.180649150999757,143
trim_start_10y,state_2,gs10,8.892097902097902,1.8500170738256096,143
trim_start_10y,state_2,term_spread_10y_1y,1.2741958041958044,0.6472252939348337,143
trim_end_3y,state_0,growth_pc1,-0.056909731983878505,1.7089428778318865,257
trim_end_3y,state_0,inflation_pc1,-0.1542230747658179,1.1425249877060017,257
trim_end_3y,state_0,gs10,3.272762645914397,1.5714796204053119,257
trim_end_3y,state_0,term_spread_10y_1y,1.856147859922179,0.9163934198405417,257
trim_end_3y,state_1,growth_pc1,0.3425363014614571,1.1186025730156919,236
trim_end_3y,state_1,inflation_pc1,-0.21499722006380687,1.0657716022814772,236
trim_end_3y,state_1,gs10,7.633728813559322,2.21957434930719,236
trim_end_3y,state_1,term_spread_10y_1y,0.9216949152542373,0.7528332923706914,236
trim_end_3y,state_2,growth_pc1,-0.9378864282814305,1.5939616571792892,66
trim_end_3y,state_2,inflation_pc1,1.5197074768312697,1.3562045502060491,66
trim_end_3y,state_2,gs10,10.320454545454545,3.0951845635628064,66
trim_end_3y,state_2,term_spread_10y_1y,-0.5130303030303032,1.0215643655265942,66
trim_end_5y,state_0,growth_pc1,0.3468531339677164,1.117223688041492,236
trim_end_5y,state_0,inflation_pc1,-0.17591305043146535,1.0753647282763437,236
trim_end_5y,state_0,gs10,7.647584745762711,2.194181981344232,236
trim_end_5y,state_0,term_spread_10y_1y,0.9320762711864407,0.7415248310131061,236
trim_end_5y,state_1,growth_pc1,-0.14452256867657864,1.7390852057929924,235
trim_end_5y,state_1,inflation_pc1,-0.301645205726292,1.0345001095475275,235
trim_end_5y,state_1,gs10,3.4044255319148933,1.5496332588558417,235
trim_end_5y,state_1,term_spread_10y_1y,1.9291914893617021,0.9191126954491516,235
trim_end_5y,state_2,growth_pc1,-0.941200936661168,1.6173501716791123,64
trim_end_5y,state_2,inflation_pc1,1.4524133213105053,1.3211065172142094,64
trim_end_5y,state_2,gs10,10.54859375,2.852895419882354,64
trim_end_5y,state_2,term_spread_10y_1y,-0.5498437500000002,1.0150463156021308,64
trim_end_10y,state_0,growth_pc1,0.4988404436960853,0.940320605223266,240
trim_end_10y,state_0,inflation_pc1,-0.0961876614168386,1.0907374050021132,240
trim_end_10y,state_0,gs10,7.585666666666667,2.237041618350345,240
trim_end_10y,state_0,term_spread_10y_1y,0.8480416666666667,0.7827977385709893,240
trim_end_10y,state_1,growth_pc1,-0.20152226194156245,1.2420631504431712,173
trim_end_10y,state_1,inflation_pc1,-0.3173268527595722,1.133457505260586,173
trim_end_10y,state_1,gs10,3.913063583815029,1.6033922547766581,173
trim_end_10y,state_1,term_spread_10y_1y,2.361907514450867,0.6009143736173641,173
trim_end_10y,state_2,growth_pc1,-1.4924132014088922,1.434322068148771,62
trim_end_10y,state_2,inflation_pc1,1.2733303754135543,1.481445776597161,62
trim_end_10y,state_2,gs10,10.59741935483871,2.8761010353464447,62
trim_end_10y,state_2,term_spread_10y_1y,-0.3133870967741936,1.2007264789317456,62
trim_start_5y_end_5y,state_0,growth_pc1,-0.1471625591528655,1.7423411868626761,234
trim_start_5y_end_5y,state_0,inflation_pc1,-0.2974954615895347,1.0347557258519549,234
trim_start_5y_end_5y,state_0,gs10,3.4018803418803416,1.552462770937963,234
trim_start_5y_end_5y,state_0,term_spread_10y_1y,1.9347008547008548,0.9171860049296163,234
trim_start_5y_end_5y,state_1,growth_pc1,0.30658127605350544,1.055581977130264,224
trim_start_5y_end_5y,state_1,inflation_pc1,-0.20081091170574725,1.0799747997115585,224
trim_start_5y_end_5y,state_1,gs10,7.64375,2.2594580980538197,224
trim_start_5y_end_5y,state_1,term_spread_10y_1y,0.9012946428571429,0.742763970843853,224
trim_start_5y_end_5y,state_2,growth_pc1,-0.9684131648222616,1.613227780587319,57
trim_start_5y_end_5y,state_2,inflation_pc1,1.2553571331433597,0.9446485996859078,57
trim_start_5y_end_5y,state_2,gs10,10.945087719298245,2.769120620345937,57
trim_start_5y_end_5y,state_2,term_spread_10y_1y,-0.5345614035087721,1.0527024239944114,57
